0.0,189.0,93.0
0.0,217.0,65.0
2.0,22.0,167.0
2.0,22.0,217.0
2.0,25.0,207.0
2.0,76.0,5.0
2.0,84.0,5.0
2.0,193.0
2.0,193.0,15.0
2.0,193.0,126.0
2.0,193.0,155.0
2.0,193.0,167.0
2.0,214.0,93.0
3.0,179.0,160.0
4.0,179.0,220.0
5.0,7.0,76.0
5.0,15.0
5.0,15.0,76.0
5.0,15.0,84.0
5.0,18.0,76.0
5.0,20.0,76.0
5.0,22.0,76.0
5.0,33.0,76.0
5.0,51.0,76.0
5.0,61.0,76.0
5.0,66.0,76.0
5.0,76.0
5.0,77.0,76.0
5.0,80.0,76.0
5.0,83.0,76.0
5.0,91.0,76.0
5.0,94.0,76.0
5.0,117.0,76.0
5.0,132.0,76.0
5.0,136.0,15.0
5.0,136.0,76.0
5.0,136.0,190.0
5.0,139.0,76.0
5.0,169.0,76.0
5.0,171.0,76.0
5.0,174.0,76.0
5.0,175.0,15.0
5.0,175.0,45.0
5.0,175.0,76.0
5.0,175.0,84.0
5.0,181.0,76.0
5.0,181.0,119.0
5.0,184.0
5.0,184.0,15.0
5.0,184.0,76.0
5.0,184.0,78.0
5.0,195.0,76.0
5.0,199.0,15.0
5.0,199.0,76.0
5.0,199.0,206.0
5.0,224.0,15.0
5.0,224.0,76.0
5.0,224.0,184.0
5.0,228.0,15.0
5.0,228.0,76.0
5.0,228.0,84.0
6.0,179.0,13.0
7.0,124.0,179.0
7.0,179.0
7.0,179.0,38.0
7.0,208.0
7.0,208.0,179.0
8.0,22.0,167.0
8.0,22.0,217.0
8.0,93.0
8.0,93.0,15.0
8.0,93.0,128.0
8.0,93.0,146.0
8.0,93.0,153.0
8.0,93.0,217.0
8.0,93.0,218.0
8.0,132.0,167.0
8.0,132.0,191.0
8.0,132.0,193.0
8.0,132.0,218.0
8.0,149.0,93.0
8.0,149.0,124.0
8.0,149.0,217.0
8.0,191.0
8.0,191.0,15.0
8.0,191.0,93.0
8.0,191.0,155.0
8.0,191.0,175.0
8.0,191.0,217.0
9.0,168.0,57.0
9.0,214.0,93.0
10.0,50.0
10.0,52.0,122.0
10.0,76.0,138.0
10.0,93.0,33.0
10.0,93.0,157.0
10.0,93.0,177.0
10.0,93.0,218.0
10.0,124.0,14.0
10.0,124.0,23.0
10.0,124.0,33.0
10.0,124.0,177.0
10.0,124.0,179.0
10.0,124.0,184.0
10.0,132.0,125.0
10.0,132.0,218.0
10.0,188.0,138.0
10.0,193.0,14.0
10.0,193.0,33.0
10.0,193.0,125.0
10.0,193.0,163.0
10.0,193.0,177.0
11.0,117.0,128.0
11.0,117.0,208.0
11.0,117.0,218.0
11.0,127.0,100.0
11.0,138.0,179.0
11.0,138.0,208.0
11.0,138.0,217.0
12.0,29.0,76.0
12.0,117.0,76.0
12.0,156.0,76.0
13.0,73.0,44.0
13.0,96.0,179.0
13.0,109.0,44.0
13.0,115.0,193.0
13.0,160.0,148.0
13.0,208.0,44.0
13.0,208.0,179.0
14.0,22.0,217.0
14.0,132.0,193.0
14.0,193.0
14.0,218.0,217.0
15.0,21.0,168.0
15.0,21.0,220.0
15.0,22.0,167.0
15.0,34.0,167.0
15.0,34.0,168.0
15.0,38.0
15.0,38.0,110.0
15.0,38.0,178.0
15.0,38.0,199.0
15.0,38.0,213.0
15.0,40.0,126.0
15.0,40.0,168.0
15.0,40.0,220.0
15.0,42.0,208.0
15.0,47.0
15.0,47.0,23.0
15.0,47.0,185.0
15.0,47.0,191.0
15.0,47.0,228.0
15.0,53.0,128.0
15.0,53.0,167.0
15.0,53.0,179.0
15.0,60.0,110.0
15.0,60.0,128.0
15.0,66.0,110.0
15.0,73.0,220.0
15.0,77.0,128.0
15.0,77.0,208.0
15.0,80.0,191.0
15.0,83.0,110.0
15.0,89.0,191.0
15.0,89.0,193.0
15.0,91.0,167.0
15.0,96.0,110.0
15.0,96.0,179.0
15.0,96.0,218.0
15.0,117.0,93.0
15.0,117.0,128.0
15.0,117.0,208.0
15.0,117.0,218.0
15.0,121.0
15.0,121.0,57.0
15.0,121.0,124.0
15.0,121.0,126.0
15.0,121.0,129.0
15.0,121.0,146.0
15.0,121.0,218.0
15.0,123.0,168.0
15.0,126.0
15.0,126.0,110.0
15.0,126.0,119.0
15.0,126.0,185.0
15.0,126.0,203.0
15.0,126.0,208.0
15.0,126.0,213.0
15.0,127.0,100.0
15.0,132.0,167.0
15.0,132.0,191.0
15.0,132.0,193.0
15.0,132.0,218.0
15.0,136.0
15.0,136.0,128.0
15.0,136.0,178.0
15.0,136.0,190.0
15.0,136.0,208.0
15.0,136.0,218.0
