dataset,nb_scenarios,P_dropout_pairs,P_dropout_altruistic,rep,time,miprelstop_setting,opt_val,VSS,rel_VSS
40,100,0.05,0.05,0,388.1420090198517,0.05,967.7100000000112,43.71000000000811,0.043216467936176145
40,100,0.05,0.05,1,207.9792628288269,0.05,987.2200000000158,80.53000000001418,0.07542027628191236
40,100,0.05,0.05,10,83.3264389038086,0.05,1005.7200000000051,70.88000000000159,0.06583689392532152
40,100,0.05,0.05,11,74.08534669876099,0.05,1006.3500000000068,74.49000000000422,0.06891861885200719
40,100,0.05,0.05,12,235.94370889663696,0.05,979.140000000022,49.68000000001837,0.04828833032018858
40,100,0.05,0.05,13,18.218897581100464,0.05,1058.0400000000031,56.94999999999561,0.051076691270769844
40,100,0.05,0.05,14,52.93201303482056,0.05,1087.1000000000113,28.990000000002052,0.025974607782528025
40,100,0.05,0.05,15,242.2371859550476,0.05,1000.580000000013,47.360000000007744,0.04519342710461172
40,100,0.05,0.05,16,515.3008182048798,0.05,991.869999999997,53.03999999999292,0.050760352566243436
40,100,0.05,0.05,17,457.01304602622986,0.05,936.43999999992,52.33999999991829,0.052933918566240065
40,100,0.05,0.05,18,237.5338099002838,0.05,1016.0700000000096,29.75000000000341,0.02844657780497891
40,100,0.05,0.05,19,160.62858819961548,0.05,999.8400000001374,48.96000000013282,0.04668192219691095
40,100,0.05,0.05,2,104.27803587913512,0.05,956.390000000006,48.24000000000456,0.04801767815016877
40,100,0.05,0.05,20,67.16534399986267,0.05,996.0700000000006,49.619999999996026,0.047451921697631405
40,100,0.05,0.05,21,324.3888320922852,0.05,936.2500000000034,95.49000000000215,0.09255238722934232
40,100,0.05,0.05,22,89.03756260871887,0.05,996.7900000000076,72.93000000000427,0.06817671914146081
40,100,0.05,0.05,23,222.88633394241333,0.05,1001.7899999999948,58.79999999999063,0.055440839532704844
40,100,0.05,0.05,24,132.46690559387207,0.05,1027.7300000000032,14.379999999994652,0.013798927176588538
40,100,0.05,0.05,25,52.907296657562256,0.05,1006.750000000002,116.7299999999999,0.10390038095916235
40,100,0.05,0.05,26,172.5340232849121,0.05,999.9299999999812,72.3599999999775,0.06748174467726109
40,100,0.05,0.05,27,83.21527314186096,0.05,1016.8700000000084,79.73000000000582,0.07270654751049133
40,100,0.05,0.05,28,137.27722311019895,0.05,989.4200000000068,71.44000000000494,0.06734159078483887
40,100,0.05,0.05,29,269.99089455604553,0.05,970.7400000000011,28.999999999997613,0.029007541960907483
40,100,0.05,0.05,3,377.96931982040405,0.05,941.7300000000122,54.18000000001052,0.054402506250574134
40,100,0.05,0.05,4,97.13597369194032,0.05,1046.160000000002,22.25999999999385,0.020834503285219238
40,100,0.05,0.05,5,348.81640577316284,0.05,955.5900000000078,29.79000000000451,0.03023199171893497
40,100,0.05,0.05,6,62.82054018974304,0.05,999.0400000000184,98.09000000001696,0.08940599564319068
40,100,0.05,0.05,7,187.0041697025299,0.05,988.1699999999996,87.27999999999793,0.08115672509182029
40,100,0.05,0.05,8,463.4833586215973,0.05,966.4500000000044,48.53000000000168,0.047813750024632395
40,100,0.05,0.05,9,94.44796442985536,0.05,955.4100000000052,109.94000000000426,0.10319613272633715
40,100,0.075,0.075,0,76.69761753082275,0.05,888.1600000000102,110.57000000000824,0.11071060246513692
40,100,0.075,0.075,1,135.76273822784424,0.05,938.650000000012,178.6500000000092,0.15989438825741145
40,100,0.075,0.075,10,204.62341237068176,0.05,851.7500000000215,122.24000000001728,0.1255043686280274
40,100,0.075,0.075,11,109.102112531662,0.05,921.699999999998,93.30999999999642,0.09193012876720125
40,100,0.075,0.075,12,327.63083934783936,0.05,821.8400000000039,146.15999999999588,0.15099173553718587
40,100,0.075,0.075,13,115.7337839603424,0.05,930.9900000000004,56.52999999999952,0.05724441023979213
40,100,0.075,0.075,14,162.08979654312134,0.05,855.8399999999228,115.54999999991958,0.11895325255555268
40,100,0.075,0.075,15,393.9489495754242,0.05,830.550000000006,151.7499999999991,0.15448437340934368
40,100,0.075,0.075,16,145.25883078575134,0.05,889.5600000000046,112.75000000000284,0.11249014775867945
40,100,0.075,0.075,17,130.05397129058838,0.05,893.0400000000045,105.21000000000232,0.10539444027047494
40,100,0.075,0.075,18,190.35758185386655,0.05,899.1399999999998,134.88999999999703,0.13045076061622723
40,100,0.075,0.075,19,305.9392349720001,0.05,875.6800000000019,116.59999999999866,0.11750715523843934
40,100,0.075,0.075,2,209.75842189788816,0.05,933.619999999926,142.3599999999244,0.1323072919570477
40,100,0.075,0.075,20,176.82554054260254,0.05,935.399999999816,96.41999999981464,0.09344653137160469
40,100,0.075,0.075,21,290.5227394104004,0.05,873.1500000000025,54.31000000000063,0.058557781467664854
40,100,0.075,0.075,22,46.64112997055054,0.05,824.3900000000046,189.1399999999992,0.18661509772774212
40,100,0.075,0.075,23,104.4464898109436,0.05,917.6600000000032,106.36000000000138,0.10386515888361644
40,100,0.075,0.075,24,416.8119084835053,0.05,885.240000000003,73.41000000000099,0.07657643561258091
40,100,0.075,0.075,25,360.1152546405792,0.05,906.3999999999184,76.19999999991637,0.0775493588438115
40,100,0.075,0.075,26,165.55774974822998,0.05,907.1299999999956,130.0899999999937,0.12542180058232105
40,100,0.075,0.075,27,158.02194714546204,0.05,930.9199999999996,80.91999999999803,0.07997311827956813
40,100,0.075,0.075,28,349.59703063964844,0.05,877.7300000000045,80.70000000000118,0.0842002024143659
40,100,0.075,0.075,29,494.4492430686951,0.05,880.4299999999985,58.46999999999696,0.06227500266268744
40,100,0.075,0.075,3,247.95668864250183,0.05,871.6900000000054,89.10000000000332,0.09273618584706597
40,100,0.075,0.075,4,80.1910309791565,0.05,882.8700000000051,92.61000000000332,0.09493787673760869
40,100,0.075,0.075,5,491.1198329925537,0.05,846.4000000000012,150.70999999999492,0.15114681429330315
40,100,0.075,0.075,6,599.209409236908,0.05,920.9400000000009,55.32999999999845,0.056674895264628114
40,100,0.075,0.075,7,244.17228984832764,0.05,883.0400000000028,80.59000000000128,0.08363168436018072
40,100,0.075,0.075,8,292.3445646762848,0.05,922.879999999998,82.22999999999615,0.08181194098158076
40,100,0.075,0.075,9,39.2062611579895,0.05,910.7100000000034,143.08000000000095,0.13577657787604774
40,100,0.1,0.1,0,163.81540417671204,0.05,790.1399999999996,167.8299999999939,0.1751933776631784
40,100,0.1,0.1,1,206.25479078292847,0.05,806.2700000000032,136.36999999999523,0.14466816600186228
40,100,0.1,0.1,10,40.54403400421143,0.05,842.1700000000005,126.4199999999954,0.130519621305192
40,100,0.1,0.1,11,103.63782811164856,0.05,808.539999999999,166.9699999999914,0.17116175128906216
40,100,0.1,0.1,12,63.10597538948059,0.05,811.8700000000065,136.98999999999978,0.1443732478974758
40,100,0.1,0.1,13,41.27825784683228,0.05,827.5599999999795,172.14999999996996,0.17219993798199346
40,100,0.1,0.1,14,228.95779418945312,0.05,834.8000000000002,135.7999999999945,0.13991345559447274
40,100,0.1,0.1,15,254.03613471984863,0.05,762.2700000000067,117.95999999999924,0.13401042909239455
40,100,0.1,0.1,16,890.5725448131561,0.05,816.0299999998732,102.39999999986831,0.11149461581165372
40,100,0.1,0.1,17,47.94226312637329,0.05,844.0399999999973,111.72999999999456,0.11690050953680856
