dataset,nb_scenarios,P_dropout_pairs,P_dropout_altruistic,rep,time,miprelstop_setting,opt_val,VSS,rel_VSS
30,100,0.05,0.05,0,2.328202962875366,0.05,790.3000000000042,127.78999999999849,0.13919114683745398
30,100,0.05,0.05,1,16.212357759475708,0.05,796.0700000000074,124.71000000000151,0.1354395186689549
30,100,0.05,0.05,10,2.4158504009246826,0.05,827.220000000008,94.54000000000042,0.10256465891338261
30,100,0.05,0.05,11,5.629236221313477,0.05,797.5000000000072,112.75000000000024,0.1238670694864041
30,100,0.05,0.05,12,40.45999598503113,0.05,777.870000000007,80.62999999999988,0.09391962725684244
30,100,0.05,0.05,13,2.596052408218384,0.05,833.5600000000044,90.089999999994,0.09753694581280156
30,100,0.05,0.05,14,13.711336135864258,0.05,789.490000000005,83.92999999999756,0.09609351743719781
30,100,0.05,0.05,15,27.687410354614254,0.05,799.3900000000046,113.55999999999744,0.12438797305438105
30,100,0.05,0.05,16,7.386857748031616,0.05,790.3200000000062,159.72000000000037,0.16811923708475354
30,100,0.05,0.05,17,5.383837461471558,0.05,790.7200000000068,149.8100000000012,0.15928253218929744
30,100,0.05,0.05,18,7.269572496414185,0.05,801.6900000000072,92.97000000000072,0.10391657165850703
30,100,0.05,0.05,19,17.85889196395874,0.05,758.4300000000021,133.26999999999623,0.14945609509924468
30,100,0.05,0.05,2,9.774763107299805,0.05,823.400000000006,137.20999999999754,0.14283632275324745
30,100,0.05,0.05,20,219.7940757274628,0.05,788.45,23.459999999993443,0.028894828244502013
30,100,0.05,0.05,21,5.5712621212005615,0.05,819.5800000000082,99.77000000000032,0.10852232555609875
30,100,0.05,0.05,22,6.454957723617554,0.05,788.1000000000067,135.890000000001,0.1470686912196018
30,100,0.05,0.05,23,27.929057598114014,0.05,790.4600000000042,130.06999999999732,0.14129903425200385
30,100,0.05,0.05,24,9.0596342086792,0.05,780.3200000000053,87.57999999999731,0.10091024311556292
30,100,0.05,0.05,25,74.0997793674469,0.05,785.1600000000062,150.1000000000016,0.16049013108654314
30,100,0.05,0.05,26,7.84066367149353,0.05,806.8000000000042,90.56999999999664,0.10092826816140116
30,100,0.05,0.05,27,56.831677198410034,0.05,801.8300000000077,56.56000000000233,0.06589079555913009
30,100,0.05,0.05,28,24.430171489715576,0.05,833.4800000000077,110.62000000000148,0.11716979133566402
30,100,0.05,0.05,29,17.839974880218506,0.05,842.4800000000043,85.96999999999673,0.09259518552425723
30,100,0.05,0.05,3,7.824207067489624,0.05,798.8900000000067,106.30999999999926,0.11744365885991888
30,100,0.05,0.05,4,4.077183485031128,0.05,813.0800000000072,122.2899999999994,0.1307397072816089
30,100,0.05,0.05,5,10.689759254455566,0.05,779.9300000000043,133.5799999999989,0.14622718963120102
30,100,0.05,0.05,6,4.639723300933838,0.05,801.2800000000074,86.55000000000155,0.09748487886194505
30,100,0.05,0.05,7,24.332439422607425,0.05,768.2800000000022,125.94999999999686,0.14084743298703575
30,100,0.05,0.05,8,22.26556611061096,0.05,787.0800000000074,136.87000000000148,0.1481357216299585
30,100,0.05,0.05,9,63.42828249931336,0.05,810.4100000000036,114.58999999999526,0.12388108108107611
30,100,0.075,0.075,0,75.35127067565918,0.05,720.5600000000477,165.6700000000459,0.18693792807739346
30,100,0.075,0.075,1,56.52868723869324,0.05,707.8999999999993,171.48999999999614,0.19501017750940655
30,100,0.075,0.075,10,52.833205699920654,0.05,719.0599999999979,144.18999999999403,0.16703156675354228
30,100,0.075,0.075,11,162.1791820526123,0.05,697.3099999999511,181.1399999999484,0.20620410951103552
30,100,0.075,0.075,12,22.544687032699585,0.05,729.2600000000022,142.99999999999852,0.1639419439158031
30,100,0.075,0.075,13,12.81188464164734,0.05,710.4699999999971,187.70999999999617,0.20898928945200024
30,100,0.075,0.075,14,2.518354892730713,0.05,738.5799999999981,105.76999999999248,0.1252679576005136
30,100,0.075,0.075,15,62.65692687034607,0.05,680.2100000000011,152.04999999999882,0.18269531156128954
30,100,0.075,0.075,16,31.2167763710022,0.05,703.2800000000011,175.48999999999876,0.199699580094904
30,100,0.075,0.075,17,55.6465163230896,0.05,690.3000000000023,128.07999999999902,0.15650431339964174
30,100,0.075,0.075,18,4.545388221740723,0.05,713.2300000000034,143.99000000000035,0.16797321574391605
30,100,0.075,0.075,19,29.09172534942627,0.05,697.3800000000028,231.2400000000013,0.24901466692511498
30,100,0.075,0.075,2,179.86271715164185,0.05,697.3299999999971,123.64999999999304,0.1506126824039496
30,100,0.075,0.075,20,58.75579810142517,0.05,675.2800000000013,139.26999999999816,0.17097784052544135
30,100,0.075,0.075,21,32.19548487663269,0.05,740.930000000003,195.83999999999992,0.20905878710889472
30,100,0.075,0.075,22,2.294123411178589,0.05,751.3000000000004,126.639999999996,0.1442467594596402
30,100,0.075,0.075,23,9.129857063293455,0.05,730.8099999999993,194.53999999999635,0.21023396552655457
30,100,0.075,0.075,24,87.98812484741211,0.05,701.0299999999976,199.4899999999952,0.22152756185314795
30,100,0.075,0.075,25,38.64152145385742,0.05,745.8400000000044,182.2000000000029,0.1963277444937734
30,100,0.075,0.075,26,23.2126042842865,0.05,733.520000000004,110.69999999999892,0.1311269574281568
30,100,0.075,0.075,27,3.745654344558716,0.05,732.0500000000026,176.14,0.19394620068487817
30,100,0.075,0.075,28,65.09175181388855,0.05,686.4899999999978,214.4799999999985,0.23805454121668798
30,100,0.075,0.075,29,5.319029331207275,0.05,723.8199999999981,189.17999999999552,0.20720700985760881
30,100,0.075,0.075,3,6.101989507675171,0.05,715.9800000000017,184.9100000000005,0.20525258355626108
30,100,0.075,0.075,4,2.4012575149536133,0.05,738.7900000000027,189.68999999999917,0.20430165431673142
